( 1 ,  -1 ,  0  )
( -357 ,  -95 ,  452  )
( -358 ,  -94 ,  452  )
( -358 ,  -95 ,  453  )
( -358 ,  -96 ,  454  )
( -359 ,  -95 ,  454  )
( -360 ,  -94 ,  454  )
( -361 ,  -93 ,  454  )
( -362 ,  -92 ,  454  )
( -363 ,  -91 ,  454  )
( -364 ,  -90 ,  454  )
( -365 ,  -89 ,  454  )
( -366 ,  -88 ,  454  )
( -365 ,  -88 ,  453  )
( -366 ,  -87 ,  453  )
( -367 ,  -86 ,  453  )
( -368 ,  -85 ,  453  )
( -367 ,  -85 ,  452  )
( -368 ,  -84 ,  452  )
( -369 ,  -83 ,  452  )
( -370 ,  -82 ,  452  )
( -371 ,  -81 ,  452  )
( -372 ,  -80 ,  452  )
( -372 ,  -79 ,  451  )
( -371 ,  -79 ,  450  )
( -372 ,  -78 ,  450  )
( -373 ,  -77 ,  450  )
( -374 ,  -76 ,  450  )
( -375 ,  -75 ,  450  )
( -376 ,  -74 ,  450  )
( -377 ,  -73 ,  450  )
( -378 ,  -72 ,  450  )
( -379 ,  -71 ,  450  )
( -380 ,  -70 ,  450  )
( -381 ,  -69 ,  450  )
( -381 ,  -68 ,  449  )
( -382 ,  -67 ,  449  )
( -383 ,  -66 ,  449  )
( -384 ,  -65 ,  449  )
( -385 ,  -64 ,  449  )
( -385 ,  -63 ,  448  )
( -386 ,  -62 ,  448  )
( -387 ,  -61 ,  448  )
( -387 ,  -60 ,  447  )
( -388 ,  -60 ,  448  )
( -387 ,  -60 ,  447  )
( -388 ,  -59 ,  447  )
( -389 ,  -58 ,  447  )
( -390 ,  -57 ,  447  )
( -391 ,  -56 ,  447  )
( -392 ,  -55 ,  447  )
( -393 ,  -54 ,  447  )
( -394 ,  -53 ,  447  )
( -395 ,  -52 ,  447  )
( -396 ,  -51 ,  447  )
( -396 ,  -50 ,  446  )
( -395 ,  -51 ,  446  )
( -396 ,  -50 ,  446  )
( -397 ,  -49 ,  446  )
( -398 ,  -48 ,  446  )
( -399 ,  -47 ,  446  )
( -400 ,  -47 ,  447  )
( -401 ,  -46 ,  447  )
( -402 ,  -45 ,  447  )
( -403 ,  -44 ,  447  )
( -403 ,  -43 ,  446  )
( -404 ,  -42 ,  446  )
( -403 ,  -42 ,  445  )
( -403 ,  -41 ,  444  )
( -403 ,  -40 ,  443  )
( -404 ,  -39 ,  443  )
( -405 ,  -38 ,  443  )
( -405 ,  -37 ,  442  )
( -406 ,  -36 ,  442  )
( -406 ,  -37 ,  443  )
( -407 ,  -36 ,  443  )
( -408 ,  -35 ,  443  )
( -408 ,  -34 ,  442  )
( -409 ,  -33 ,  442  )
( -410 ,  -32 ,  442  )
( -409 ,  -32 ,  441  )
( -409 ,  -31 ,  440  )
( -410 ,  -30 ,  440  )
( -411 ,  -29 ,  440  )
( -412 ,  -28 ,  440  )
( -413 ,  -27 ,  440  )
( -414 ,  -26 ,  440  )
( -413 ,  -27 ,  440  )
( -412 ,  -28 ,  440  )
( -412 ,  -27 ,  439  )
( -413 ,  -27 ,  440  )
( -414 ,  -26 ,  440  )
( -415 ,  -26 ,  441  )
( -415 ,  -25 ,  440  )
( -416 ,  -24 ,  440  )
( -416 ,  -23 ,  439  )
( -417 ,  -23 ,  440  )
( -417 ,  -22 ,  439  )
( -417 ,  -21 ,  438  )
( -418 ,  -20 ,  438  )
( -419 ,  -19 ,  438  )
( -419 ,  -20 ,  439  )
( -420 ,  -19 ,  439  )
( -421 ,  -18 ,  439  )
( -421 ,  -17 ,  438  )
( -420 ,  -18 ,  438  )
( -420 ,  -17 ,  437  )
( -421 ,  -16 ,  437  )
( -421 ,  -17 ,  438  )
( -421 ,  -16 ,  437  )
( -422 ,  -15 ,  437  )
( -421 ,  -15 ,  436  )
( -422 ,  -15 ,  437  )
( -423 ,  -14 ,  437  )
( -424 ,  -13 ,  437  )
( -425 ,  -12 ,  437  )
( -426 ,  -11 ,  437  )
( -426 ,  -12 ,  438  )
( -425 ,  -13 ,  438  )
( -424 ,  -13 ,  437  )
( -424 ,  -12 ,  436  )
( -425 ,  -11 ,  436  )
( -426 ,  -10 ,  436  )
( -427 ,  -9 ,  436  )
( -428 ,  -8 ,  436  )
( -429 ,  -7 ,  436  )
( -429 ,  -6 ,  435  )
( -429 ,  -7 ,  436  )
( -429 ,  -8 ,  437  )
( -428 ,  -9 ,  437  )
( -429 ,  -8 ,  437  )
( -430 ,  -8 ,  438  )
( -430 ,  -7 ,  437  )
( -431 ,  -6 ,  437  )
( -432 ,  -5 ,  437  )
( -432 ,  -4 ,  436  )
( -432 ,  -3 ,  435  )
( -432 ,  -2 ,  434  )
( -431 ,  -2 ,  433  )
( -432 ,  -1 ,  433  )
( -433 ,  0 ,  433  )
( -433 ,  -1 ,  434  )
( -434 ,  0 ,  434  )
( -433 ,  0 ,  433  )
( -434 ,  1 ,  433  )
( -435 ,  2 ,  433  )
( -434 ,  2 ,  432  )
( -434 ,  3 ,  431  )
( -435 ,  4 ,  431  )
( -436 ,  5 ,  431  )
( -436 ,  6 ,  430  )
( -437 ,  6 ,  431  )
( -437 ,  7 ,  430  )
( -438 ,  8 ,  430  )
( -438 ,  7 ,  431  )
( -439 ,  8 ,  431  )
( -440 ,  9 ,  431  )
( -441 ,  10 ,  431  )
( -441 ,  11 ,  430  )
( -441 ,  12 ,  429  )
( -441 ,  13 ,  428  )
( -441 ,  14 ,  427  )
( -442 ,  15 ,  427  )
( -443 ,  16 ,  427  )
( -444 ,  17 ,  427  )
( -445 ,  18 ,  427  )
( -446 ,  19 ,  427  )
( -446 ,  18 ,  428  )
( -447 ,  19 ,  428  )
( -448 ,  20 ,  428  )
( -449 ,  21 ,  428  )
( -450 ,  21 ,  429  )
( -451 ,  22 ,  429  )
( -452 ,  23 ,  429  )
( -451 ,  22 ,  429  )
( -452 ,  23 ,  429  )
( -452 ,  24 ,  428  )
( -452 ,  25 ,  427  )
( -453 ,  26 ,  427  )
( -454 ,  27 ,  427  )
( -454 ,  26 ,  428  )
( -454 ,  25 ,  429  )
( -454 ,  26 ,  428  )
( -455 ,  27 ,  428  )
( -456 ,  28 ,  428  )
( -457 ,  29 ,  428  )
( -458 ,  30 ,  428  )
( -458 ,  31 ,  427  )
( -458 ,  32 ,  426  )
( -458 ,  33 ,  425  )
( -458 ,  34 ,  424  )
( -459 ,  34 ,  425  )
( -459 ,  35 ,  424  )
( -458 ,  35 ,  423  )
( -458 ,  36 ,  422  )
( -459 ,  37 ,  422  )
( -460 ,  38 ,  422  )
( -461 ,  39 ,  422  )
( -460 ,  39 ,  421  )
( -461 ,  40 ,  421  )
( -462 ,  41 ,  421  )
( -462 ,  42 ,  420  )
( -463 ,  43 ,  420  )
( -463 ,  42 ,  421  )
( -464 ,  42 ,  422  )
( -465 ,  43 ,  422  )
( -466 ,  44 ,  422  )
( -465 ,  43 ,  422  )
( -466 ,  44 ,  422  )
( -467 ,  45 ,  422  )
( -468 ,  46 ,  422  )
( -469 ,  47 ,  422  )
( -470 ,  48 ,  422  )
( -471 ,  49 ,  422  )
( -472 ,  50 ,  422  )
( -473 ,  51 ,  422  )
( -473 ,  50 ,  423  )
( -474 ,  50 ,  424  )
( -475 ,  51 ,  424  )
( -476 ,  52 ,  424  )
( -477 ,  53 ,  424  )
( -478 ,  54 ,  424  )
( -479 ,  55 ,  424  )
( -480 ,  56 ,  424  )
( -481 ,  57 ,  424  )
( -482 ,  58 ,  424  )
( -482 ,  59 ,  423  )
( -483 ,  60 ,  423  )
( -483 ,  61 ,  422  )
( -484 ,  62 ,  422  )
( -484 ,  63 ,  421  )
( -485 ,  64 ,  421  )
( -486 ,  65 ,  421  )
( -487 ,  66 ,  421  )
( -487 ,  67 ,  420  )
( -487 ,  68 ,  419  )
( -488 ,  69 ,  419  )
( -489 ,  70 ,  419  )
( -489 ,  71 ,  418  )
( -490 ,  72 ,  418  )
( -491 ,  73 ,  418  )
( -492 ,  74 ,  418  )
( -493 ,  75 ,  418  )
( -493 ,  76 ,  417  )
( -493 ,  75 ,  418  )
( -494 ,  76 ,  418  )
( -493 ,  76 ,  417  )
( -494 ,  77 ,  417  )
( -495 ,  78 ,  417  )
( -496 ,  79 ,  417  )
( -497 ,  80 ,  417  )
( -497 ,  81 ,  416  )
( -498 ,  82 ,  416  )
( -497 ,  81 ,  416  )
( -498 ,  82 ,  416  )
( -499 ,  83 ,  416  )
( -499 ,  84 ,  415  )
( -499 ,  85 ,  414  )
( -499 ,  86 ,  413  )
( -500 ,  87 ,  413  )
( -501 ,  88 ,  413  )
( -501 ,  89 ,  412  )
( -501 ,  90 ,  411  )
( -502 ,  91 ,  411  )
( -502 ,  92 ,  410  )
( -503 ,  93 ,  410  )
( -503 ,  94 ,  409  )
( -502 ,  94 ,  408  )
( -503 ,  95 ,  408  )
( -502 ,  95 ,  407  )
( -502 ,  94 ,  408  )
( -502 ,  93 ,  409  )
( -502 ,  92 ,  410  )
( -501 ,  92 ,  409  )
( -502 ,  92 ,  410  )
( -502 ,  93 ,  409  )
( -503 ,  93 ,  410  )
( -503 ,  94 ,  409  )
( -503 ,  95 ,  408  )
( -504 ,  96 ,  408  )
( -504 ,  97 ,  407  )
( -505 ,  98 ,  407  )
( -505 ,  99 ,  406  )
( -506 ,  100 ,  406  )
( -506 ,  101 ,  405  )
( -506 ,  102 ,  404  )
( -506 ,  103 ,  403  )
( -506 ,  104 ,  402  )
( -507 ,  105 ,  402  )
( -508 ,  106 ,  402  )
( -509 ,  107 ,  402  )
( -509 ,  108 ,  401  )
( -509 ,  109 ,  400  )
( -510 ,  110 ,  400  )
( -510 ,  111 ,  399  )
( -511 ,  111 ,  400  )
( -511 ,  110 ,  401  )
( -511 ,  111 ,  400  )
( -512 ,  112 ,  400  )
( -512 ,  113 ,  399  )
( -513 ,  114 ,  399  )
( -514 ,  115 ,  399  )
( -514 ,  116 ,  398  )
( -515 ,  116 ,  399  )
( -516 ,  117 ,  399  )
( -517 ,  118 ,  399  )
( -518 ,  119 ,  399  )
( -518 ,  120 ,  398  )
( -517 ,  120 ,  397  )
( -518 ,  121 ,  397  )
( -519 ,  122 ,  397  )
( -520 ,  123 ,  397  )
( -520 ,  124 ,  396  )
( -520 ,  125 ,  395  )
( -521 ,  126 ,  395  )
( -522 ,  127 ,  395  )
( -523 ,  127 ,  396  )
( -523 ,  128 ,  395  )
( -524 ,  129 ,  395  )
( -525 ,  130 ,  395  )
( -524 ,  129 ,  395  )
( -525 ,  130 ,  395  )
( -525 ,  131 ,  394  )
( -524 ,  130 ,  394  )
( -523 ,  129 ,  394  )
( -523 ,  130 ,  393  )
( -524 ,  130 ,  394  )
( -525 ,  131 ,  394  )
( -525 ,  132 ,  393  )
( -526 ,  133 ,  393  )
( -527 ,  134 ,  393  )
( -528 ,  134 ,  394  )
( -528 ,  135 ,  393  )
( -528 ,  136 ,  392  )
( -528 ,  137 ,  391  )
( -529 ,  138 ,  391  )
( -530 ,  139 ,  391  )
( -530 ,  140 ,  390  )
( -529 ,  139 ,  390  )
( -529 ,  140 ,  389  )
( -529 ,  139 ,  390  )
( -530 ,  140 ,  390  )
( -531 ,  141 ,  390  )
( -532 ,  142 ,  390  )
( -533 ,  143 ,  390  )
( -533 ,  144 ,  389  )
( -533 ,  145 ,  388  )
( -533 ,  146 ,  387  )
( -533 ,  147 ,  386  )
( -533 ,  148 ,  385  )
( -534 ,  149 ,  385  )
( -534 ,  148 ,  386  )
( -535 ,  149 ,  386  )
( -536 ,  149 ,  387  )
( -536 ,  150 ,  386  )
( -536 ,  151 ,  385  )
( -536 ,  152 ,  384  )
( -537 ,  153 ,  384  )
( -536 ,  153 ,  383  )
( -536 ,  154 ,  382  )
( -535 ,  153 ,  382  )
( -535 ,  154 ,  381  )
( -535 ,  155 ,  380  )
( -535 ,  156 ,  379  )
( -534 ,  155 ,  379  )
( -534 ,  156 ,  378  )
( -535 ,  157 ,  378  )
( -536 ,  158 ,  378  )
( -536 ,  159 ,  377  )
( -537 ,  160 ,  377  )
( -536 ,  159 ,  377  )
( -536 ,  160 ,  376  )
( -537 ,  161 ,  376  )
( -537 ,  162 ,  375  )
( -538 ,  163 ,  375  )
( -539 ,  164 ,  375  )
( -539 ,  165 ,  374  )
( -540 ,  166 ,  374  )
( -540 ,  167 ,  373  )
( -540 ,  168 ,  372  )
( -540 ,  169 ,  371  )
( -541 ,  170 ,  371  )
( -541 ,  171 ,  370  )
( -542 ,  172 ,  370  )
( -543 ,  172 ,  371  )
( -543 ,  173 ,  370  )
( -543 ,  174 ,  369  )
( -543 ,  175 ,  368  )
( -543 ,  176 ,  367  )
( -543 ,  177 ,  366  )
( -543 ,  178 ,  365  )
( -544 ,  178 ,  366  )
( -544 ,  179 ,  365  )
( -544 ,  180 ,  364  )
( -544 ,  181 ,  363  )
( -544 ,  182 ,  362  )
( -545 ,  183 ,  362  )
( -545 ,  182 ,  363  )
( -545 ,  181 ,  364  )
( -545 ,  182 ,  363  )
( -546 ,  183 ,  363  )
( -545 ,  183 ,  362  )
( -544 ,  182 ,  362  )
( -544 ,  183 ,  361  )
( -545 ,  184 ,  361  )
( -546 ,  185 ,  361  )
( -547 ,  185 ,  362  )
( -547 ,  186 ,  361  )
( -547 ,  187 ,  360  )
( -547 ,  186 ,  361  )
( -547 ,  187 ,  360  )
( -548 ,  188 ,  360  )
( -547 ,  188 ,  359  )
( -547 ,  189 ,  358  )
( -548 ,  190 ,  358  )
( -548 ,  189 ,  359  )
( -548 ,  190 ,  358  )
( -549 ,  191 ,  358  )
( -549 ,  192 ,  357  )
( -549 ,  193 ,  356  )
( -549 ,  194 ,  355  )
( -549 ,  195 ,  354  )
( -549 ,  196 ,  353  )
( -549 ,  197 ,  352  )
( -549 ,  198 ,  351  )
( -549 ,  199 ,  350  )
( -550 ,  200 ,  350  )
( -551 ,  201 ,  350  )
( -552 ,  202 ,  350  )
( -552 ,  203 ,  349  )
( -552 ,  204 ,  348  )
( -553 ,  204 ,  349  )
( -554 ,  205 ,  349  )
( -554 ,  206 ,  348  )
( -554 ,  207 ,  347  )
( -555 ,  208 ,  347  )
( -555 ,  209 ,  346  )
( -556 ,  210 ,  346  )
( -556 ,  209 ,  347  )
( -556 ,  210 ,  346  )
( -557 ,  211 ,  346  )
( -558 ,  212 ,  346  )
( -558 ,  213 ,  345  )
( -558 ,  214 ,  344  )
( -559 ,  215 ,  344  )
( -558 ,  214 ,  344  )
( -559 ,  214 ,  345  )
( -560 ,  215 ,  345  )
( -559 ,  215 ,  344  )
( -559 ,  216 ,  343  )
( -560 ,  217 ,  343  )
( -559 ,  217 ,  342  )
( -559 ,  218 ,  341  )
( -559 ,  219 ,  340  )
( -559 ,  220 ,  339  )
( -559 ,  219 ,  340  )
( -560 ,  220 ,  340  )
( -560 ,  221 ,  339  )
( -560 ,  222 ,  338  )
( -560 ,  221 ,  339  )
( -560 ,  222 ,  338  )
( -561 ,  223 ,  338  )
( -562 ,  224 ,  338  )
( -562 ,  225 ,  337  )
( -563 ,  226 ,  337  )
( -564 ,  226 ,  338  )
( -565 ,  227 ,  338  )
( -565 ,  228 ,  337  )
( -565 ,  229 ,  336  )
( -566 ,  230 ,  336  )
( -566 ,  231 ,  335  )
( -566 ,  232 ,  334  )
( -566 ,  233 ,  333  )
( -566 ,  234 ,  332  )
( -565 ,  234 ,  331  )
( -564 ,  234 ,  330  )
( -565 ,  234 ,  331  )
( -566 ,  235 ,  331  )
( -566 ,  236 ,  330  )
( -566 ,  237 ,  329  )
( -567 ,  238 ,  329  )
( -567 ,  239 ,  328  )
( -567 ,  240 ,  327  )
( -568 ,  241 ,  327  )
( -568 ,  242 ,  326  )
( -568 ,  241 ,  327  )
( -568 ,  242 ,  326  )
( -567 ,  242 ,  325  )
( -568 ,  243 ,  325  )
( -568 ,  244 ,  324  )
( -568 ,  245 ,  323  )
( -568 ,  246 ,  322  )
( -568 ,  247 ,  321  )
( -568 ,  248 ,  320  )
( -568 ,  249 ,  319  )
( -568 ,  250 ,  318  )
( -569 ,  251 ,  318  )
( -570 ,  251 ,  319  )
( -570 ,  252 ,  318  )
( -569 ,  252 ,  317  )
( -569 ,  253 ,  316  )
( -570 ,  254 ,  316  )
( -570 ,  255 ,  315  )
( -570 ,  256 ,  314  )
( -570 ,  257 ,  313  )
( -570 ,  258 ,  312  )
( -570 ,  259 ,  311  )
( -570 ,  260 ,  310  )
( -570 ,  261 ,  309  )
( -571 ,  262 ,  309  )
( -572 ,  263 ,  309  )
( -573 ,  264 ,  309  )
( -574 ,  264 ,  310  )
( -574 ,  265 ,  309  )
( -575 ,  266 ,  309  )
( -575 ,  267 ,  308  )
( -575 ,  268 ,  307  )
( -575 ,  269 ,  306  )
( -575 ,  270 ,  305  )
( -575 ,  271 ,  304  )
( -575 ,  272 ,  303  )
( -575 ,  273 ,  302  )
( -575 ,  274 ,  301  )
( -575 ,  275 ,  300  )
( -575 ,  276 ,  299  )
( -575 ,  277 ,  298  )
( -575 ,  278 ,  297  )
( -575 ,  279 ,  296  )
( -575 ,  280 ,  295  )
( -575 ,  281 ,  294  )
( -575 ,  282 ,  293  )
( -575 ,  283 ,  292  )
( -575 ,  284 ,  291  )
( -575 ,  285 ,  290  )
( -575 ,  286 ,  289  )
( -575 ,  287 ,  288  )
( -576 ,  287 ,  289  )
( -576 ,  288 ,  288  )
( -575 ,  287 ,  288  )
( -576 ,  288 ,  288  )
( -576 ,  289 ,  287  )
( -576 ,  290 ,  286  )
( -576 ,  291 ,  285  )
( -576 ,  290 ,  286  )
( -576 ,  289 ,  287  )
( -576 ,  290 ,  286  )
( -576 ,  289 ,  287  )
( -576 ,  290 ,  286  )
( -576 ,  291 ,  285  )
( -576 ,  292 ,  284  )
( -576 ,  293 ,  283  )
( -576 ,  294 ,  282  )
( -576 ,  295 ,  281  )
( -576 ,  296 ,  280  )
( -576 ,  297 ,  279  )
( -576 ,  298 ,  278  )
( -576 ,  299 ,  277  )
( -576 ,  300 ,  276  )
( -576 ,  301 ,  275  )
( -576 ,  302 ,  274  )
( -576 ,  303 ,  273  )
( -575 ,  303 ,  272  )
( -575 ,  304 ,  271  )
( -575 ,  305 ,  270  )
( -575 ,  306 ,  269  )
( -575 ,  307 ,  268  )
( -575 ,  306 ,  269  )
( -575 ,  307 ,  268  )
( -576 ,  308 ,  268  )
( -576 ,  309 ,  267  )
( -576 ,  310 ,  266  )
( -577 ,  311 ,  266  )
( -577 ,  312 ,  265  )
( -577 ,  313 ,  264  )
( -577 ,  314 ,  263  )
( -578 ,  314 ,  264  )
( -579 ,  315 ,  264  )
( -579 ,  316 ,  263  )
( -579 ,  317 ,  262  )
( -579 ,  318 ,  261  )
( -579 ,  319 ,  260  )
( -579 ,  320 ,  259  )
( -579 ,  321 ,  258  )
( -579 ,  322 ,  257  )
( -579 ,  323 ,  256  )
( -579 ,  324 ,  255  )
( -579 ,  325 ,  254  )
( -579 ,  326 ,  253  )
( -578 ,  325 ,  253  )
( -579 ,  326 ,  253  )
( -579 ,  327 ,  252  )
( -579 ,  328 ,  251  )
( -579 ,  329 ,  250  )
( -579 ,  330 ,  249  )
( -579 ,  331 ,  248  )
( -579 ,  332 ,  247  )
( -579 ,  333 ,  246  )
( -579 ,  334 ,  245  )
( -579 ,  335 ,  244  )
( -579 ,  336 ,  243  )
( -579 ,  337 ,  242  )
( -579 ,  338 ,  241  )
( -579 ,  339 ,  240  )
( -579 ,  340 ,  239  )
( -579 ,  339 ,  240  )
( -579 ,  340 ,  239  )
( -579 ,  341 ,  238  )
( -579 ,  342 ,  237  )
( -579 ,  343 ,  236  )
( -580 ,  344 ,  236  )
( -581 ,  344 ,  237  )
( -581 ,  345 ,  236  )
( -581 ,  346 ,  235  )
( -581 ,  347 ,  234  )
( -581 ,  348 ,  233  )
( -580 ,  348 ,  232  )
( -580 ,  349 ,  231  )
( -580 ,  350 ,  230  )
( -580 ,  351 ,  229  )
( -580 ,  352 ,  228  )
( -580 ,  351 ,  229  )
( -580 ,  352 ,  228  )
( -580 ,  353 ,  227  )
( -581 ,  353 ,  228  )
( -581 ,  354 ,  227  )
( -582 ,  355 ,  227  )
( -582 ,  356 ,  226  )
( -582 ,  357 ,  225  )
( -582 ,  358 ,  224  )
( -582 ,  359 ,  223  )
( -582 ,  358 ,  224  )
( -582 ,  359 ,  223  )
( -582 ,  360 ,  222  )
( -582 ,  359 ,  223  )
( -582 ,  360 ,  222  )
( -582 ,  361 ,  221  )
( -582 ,  362 ,  220  )
( -582 ,  363 ,  219  )
( -582 ,  364 ,  218  )
( -581 ,  364 ,  217  )
( -581 ,  365 ,  216  )
( -582 ,  366 ,  216  )
( -582 ,  367 ,  215  )
( -583 ,  367 ,  216  )
( -583 ,  368 ,  215  )
( -583 ,  367 ,  216  )
( -583 ,  368 ,  215  )
( -583 ,  369 ,  214  )
( -583 ,  368 ,  215  )
( -583 ,  369 ,  214  )
( -583 ,  370 ,  213  )
( -584 ,  371 ,  213  )
( -584 ,  372 ,  212  )
( -584 ,  373 ,  211  )
( -584 ,  374 ,  210  )
( -585 ,  374 ,  211  )
( -586 ,  375 ,  211  )
( -586 ,  376 ,  210  )
( -586 ,  377 ,  209  )
( -587 ,  378 ,  209  )
( -587 ,  379 ,  208  )
( -588 ,  379 ,  209  )
( -589 ,  380 ,  209  )
( -589 ,  381 ,  208  )
( -589 ,  382 ,  207  )
( -589 ,  383 ,  206  )
( -588 ,  382 ,  206  )
( -587 ,  381 ,  206  )
( -587 ,  382 ,  205  )
( -587 ,  383 ,  204  )
( -588 ,  384 ,  204  )
( -588 ,  385 ,  203  )
( -588 ,  386 ,  202  )
( -588 ,  387 ,  201  )
( -588 ,  388 ,  200  )
( -588 ,  389 ,  199  )
( -588 ,  390 ,  198  )
( -588 ,  391 ,  197  )
( -588 ,  392 ,  196  )
( -588 ,  393 ,  195  )
( -588 ,  394 ,  194  )
( -588 ,  393 ,  195  )
( -589 ,  393 ,  196  )
( -589 ,  394 ,  195  )
( -589 ,  395 ,  194  )
( -589 ,  396 ,  193  )
( -589 ,  397 ,  192  )
( -589 ,  398 ,  191  )
( -590 ,  398 ,  192  )
( -590 ,  399 ,  191  )
( -590 ,  398 ,  192  )
( -590 ,  399 ,  191  )
( -590 ,  400 ,  190  )
( -590 ,  401 ,  189  )
( -590 ,  402 ,  188  )
( -590 ,  403 ,  187  )
( -590 ,  404 ,  186  )
( -590 ,  405 ,  185  )
( -590 ,  406 ,  184  )
( -590 ,  407 ,  183  )
( -590 ,  408 ,  182  )
( -590 ,  409 ,  181  )
( -590 ,  410 ,  180  )
( -590 ,  411 ,  179  )
( -590 ,  412 ,  178  )
( -590 ,  413 ,  177  )
( -590 ,  414 ,  176  )
( -590 ,  415 ,  175  )
( -590 ,  416 ,  174  )
( -590 ,  417 ,  173  )
( -590 ,  418 ,  172  )
( -590 ,  419 ,  171  )
( -590 ,  420 ,  170  )
( -591 ,  421 ,  170  )
( -592 ,  422 ,  170  )
( -592 ,  423 ,  169  )
( -592 ,  422 ,  170  )
( -592 ,  423 ,  169  )
( -592 ,  424 ,  168  )
( -592 ,  425 ,  167  )
( -592 ,  426 ,  166  )
( -592 ,  427 ,  165  )
( -592 ,  428 ,  164  )
( -592 ,  429 ,  163  )
( -592 ,  430 ,  162  )
( -592 ,  431 ,  161  )
( -592 ,  432 ,  160  )
( -592 ,  433 ,  159  )
( -592 ,  434 ,  158  )
( -592 ,  435 ,  157  )
( -592 ,  436 ,  156  )
( -592 ,  437 ,  155  )
( -592 ,  438 ,  154  )
( -592 ,  439 ,  153  )
( -592 ,  440 ,  152  )
( -592 ,  441 ,  151  )
( -592 ,  442 ,  150  )
( -592 ,  443 ,  149  )
( -592 ,  444 ,  148  )
( -592 ,  443 ,  149  )
( -592 ,  444 ,  148  )
( -592 ,  445 ,  147  )
( -591 ,  445 ,  146  )
( -592 ,  446 ,  146  )
( -592 ,  447 ,  145  )
( -592 ,  448 ,  144  )
( -592 ,  449 ,  143  )
( -592 ,  450 ,  142  )
( -591 ,  449 ,  142  )
( -591 ,  450 ,  141  )
( -591 ,  449 ,  142  )
( -591 ,  450 ,  141  )
( -591 ,  451 ,  140  )
( -591 ,  452 ,  139  )
( -591 ,  453 ,  138  )
( -590 ,  453 ,  137  )
( -590 ,  454 ,  136  )
( -590 ,  455 ,  135  )
( -590 ,  454 ,  136  )
( -590 ,  455 ,  135  )
( -590 ,  456 ,  134  )
( -589 ,  455 ,  134  )
( -590 ,  456 ,  134  )
( -590 ,  457 ,  133  )
( -590 ,  458 ,  132  )
( -590 ,  459 ,  131  )
( -590 ,  460 ,  130  )
( -591 ,  461 ,  130  )
( -591 ,  462 ,  129  )
( -590 ,  462 ,  128  )
( -590 ,  463 ,  127  )
( -590 ,  464 ,  126  )
( -591 ,  464 ,  127  )
( -590 ,  463 ,  127  )
( -590 ,  464 ,  126  )
( -590 ,  465 ,  125  )
( -590 ,  466 ,  124  )
( -590 ,  467 ,  123  )
( -590 ,  468 ,  122  )
( -590 ,  469 ,  121  )
( -590 ,  470 ,  120  )
( -590 ,  471 ,  119  )
( -590 ,  472 ,  118  )
( -591 ,  472 ,  119  )
( -591 ,  473 ,  118  )
( -591 ,  474 ,  117  )
( -590 ,  473 ,  117  )
( -590 ,  474 ,  116  )
( -590 ,  475 ,  115  )
( -590 ,  476 ,  114  )
( -589 ,  476 ,  113  )
( -589 ,  477 ,  112  )
( -589 ,  478 ,  111  )
( -589 ,  479 ,  110  )
( -589 ,  480 ,  109  )
( -588 ,  479 ,  109  )
( -588 ,  480 ,  108  )
( -587 ,  480 ,  107  )
( -587 ,  481 ,  106  )
( -587 ,  482 ,  105  )
( -587 ,  483 ,  104  )
( -586 ,  483 ,  103  )
( -586 ,  484 ,  102  )
( -587 ,  484 ,  103  )
( -587 ,  485 ,  102  )
( -587 ,  486 ,  101  )
( -587 ,  487 ,  100  )
( -587 ,  488 ,  99  )
( -587 ,  489 ,  98  )
( -587 ,  490 ,  97  )
( -587 ,  491 ,  96  )
( -587 ,  492 ,  95  )
( -587 ,  493 ,  94  )
( -587 ,  494 ,  93  )
( -587 ,  495 ,  92  )
( -587 ,  496 ,  91  )
( -587 ,  497 ,  90  )
( -587 ,  498 ,  89  )
( -587 ,  499 ,  88  )
( -587 ,  500 ,  87  )
( -588 ,  500 ,  88  )
( -588 ,  501 ,  87  )
( -588 ,  502 ,  86  )
( -587 ,  502 ,  85  )
( -586 ,  502 ,  84  )
( -586 ,  503 ,  83  )
( -587 ,  503 ,  84  )
( -587 ,  504 ,  83  )
( -587 ,  505 ,  82  )
( -587 ,  506 ,  81  )
( -588 ,  507 ,  81  )
( -588 ,  508 ,  80  )
( -588 ,  509 ,  79  )
( -588 ,  510 ,  78  )
( -587 ,  509 ,  78  )
( -587 ,  510 ,  77  )
( -587 ,  511 ,  76  )
( -587 ,  512 ,  75  )
( -587 ,  513 ,  74  )
( -587 ,  514 ,  73  )
( -588 ,  514 ,  74  )
( -589 ,  515 ,  74  )
( -589 ,  516 ,  73  )
( -588 ,  515 ,  73  )
( -588 ,  516 ,  72  )
( -587 ,  516 ,  71  )
( -586 ,  515 ,  71  )
( -586 ,  516 ,  70  )
( -586 ,  517 ,  69  )
( -586 ,  518 ,  68  )
( -586 ,  519 ,  67  )
( -585 ,  519 ,  66  )
( -585 ,  520 ,  65  )
( -585 ,  521 ,  64  )
( -585 ,  522 ,  63  )
( -586 ,  522 ,  64  )
( -586 ,  523 ,  63  )
( -585 ,  523 ,  62  )
( -585 ,  524 ,  61  )
( -585 ,  525 ,  60  )
( -585 ,  526 ,  59  )
( -585 ,  527 ,  58  )
( -585 ,  528 ,  57  )
( -585 ,  529 ,  56  )
( -585 ,  530 ,  55  )
( -586 ,  530 ,  56  )
